id,nome,descricao,localizacao,valor,quartos,banheiros,area,vagas,caracteristicas
1,"Residencial Villa Verde","Condomínio fechado com apartamentos de alto padrão, ampla área de lazer com piscina, academia, salão de festas e playground. Segurança 24h e localização privilegiada.","Jardim Europa, São Paulo - SP",850000,3,2,120,2,"Piscina, Academia, Salão de festas, Playground, Segurança 24h"
2,"Edifício Sky Tower","Apartamentos modernos com vista panorâmica da cidade, acabamento premium e tecnologia smart home integrada. Localizado próximo a parques e centros comerciais.","Centro, Rio de Janeiro - RJ",1200000,4,3,150,3,"Vista panorâmica, Smart home, Varanda gourmet, Ar condicionado, Piso aquecido"
3,"Condomínio Solar das Palmeiras","Casas em condomínio fechado com amplos jardins, piscina privativa e espaço gourmet. Ideal para famílias que buscam tranquilidade e segurança.","Alphaville, Barueri - SP",1800000,4,4,250,4,"Piscina privativa, Espaço gourmet, Jardim, Segurança 24h, Área de lazer"
4,"Residencial Brisa Mar","Apartamentos à beira-mar com vista privilegiada, varanda gourmet e infraestrutura completa de lazer. Acabamento de alto padrão e design contemporâneo.","Beira Mar, Fortaleza - CE",950000,3,2,110,2,"Vista para o mar, Varanda gourmet, Piscina, Sauna, Fitness center"
5,"Edifício Lumina","Apartamentos compactos e funcionais com design moderno, localizados próximo a universidades e centros empresariais. Ideal para jovens profissionais e investidores.","Pinheiros, São Paulo - SP",550000,2,1,65,1,"Coworking, Lavanderia compartilhada, Bicicletário, Delivery room, Pet friendly"
6,"Condomínio Bosque das Araucárias","Casas de campo em meio à natureza, com amplos terrenos, vista para montanhas e infraestrutura completa. Perfeito para quem busca qualidade de vida longe da cidade.","Serra da Mantiqueira, Campos do Jordão - SP",1500000,3,3,200,3,"Lareira, Vista para montanhas, Terreno amplo, Trilhas ecológicas, Segurança"
7,"Residencial Parque das Flores","Apartamentos garden com quintal privativo, em condomínio com ampla área verde, piscinas e quadras esportivas. Localização privilegiada próxima a parques.","Jardim Botânico, Curitiba - PR",780000,3,2,130,2,"Quintal privativo, Área verde, Piscinas, Quadras esportivas, Playground"
8,"Edifício Horizonte","Apartamentos de luxo com pé direito duplo, automação residencial e acabamento premium. Localizado em bairro nobre com vista para o lago.","Lago Sul, Brasília - DF",2200000,4,4,220,4,"Pé direito duplo, Automação residencial, Vista para o lago, Spa, Wine room"
9,"Condomínio Vila dos Pássaros","Casas em condomínio horizontal com arquitetura contemporânea, sustentabilidade e contato com a natureza. Infraestrutura completa para famílias.","Lagoa Santa, Belo Horizonte - MG",920000,3,3,180,2,"Energia solar, Reúso de água, Horta comunitária, Pomar, Área de lazer"
10,"Residencial Montblanc","Apartamentos de alto padrão com vista para o mar, acabamentos importados e serviços de concierge. Localizado na área mais valorizada da cidade.","Barra da Tijuca, Rio de Janeiro - RJ",3500000,5,5,350,5,"Serviço de concierge, Heliponto, Spa, Beach service, Adega climatizada"
11,"Edifício Urban Life","Apartamentos studio e lofts com design contemporâneo, localizados no centro da cidade com fácil acesso a transporte público, restaurantes e vida noturna.","Centro, São Paulo - SP",450000,1,1,45,1,"Rooftop, Coworking, Delivery room, Bike sharing, Lavanderia compartilhada"
12,"Condomínio Reserva do Vale","Casas de campo com arquitetura rústica contemporânea, em meio à natureza com vista para montanhas e cachoeiras. Ideal para segunda residência.","Serra da Cantareira, São Paulo - SP",1350000,4,3,220,3,"Ofurô, Lareira, Vista para montanhas, Pomar, Trilhas ecológicas"
13,"Residencial Costa Azul","Apartamentos à beira-mar com varandas amplas, piscina de borda infinita e serviço de praia. Localizado em uma das praias mais exclusivas do litoral.","Jurerê Internacional, Florianópolis - SC",1750000,3,3,160,2,"Borda infinita, Serviço de praia, Varandas amplas, Beach tennis, Marina"
14,"Edifício Green Tower","Apartamentos sustentáveis com certificação LEED, energia solar, reúso de água e materiais ecológicos. Localizado próximo a parques e ciclovias.","Vila Madalena, São Paulo - SP",890000,2,2,95,1,"Certificação LEED, Energia solar, Reúso de água, Horta comunitária, Bicicletário"
15,"Condomínio Quinta das Oliveiras","Casas em estilo mediterrâneo com pomar, vinícola e produção de azeite. Experiência única de viver em uma propriedade produtiva com conforto e luxo.","Vale dos Vinhedos, Bento Gonçalves - RS",1650000,4,3,280,3,"Vinícola, Oliveiras, Adega, Espaço gourmet, Piscina aquecida"
16,"Residencial Infinity","Apartamentos de alto padrão com vista 360° da cidade, piscina na cobertura e serviços pay-per-use. Design contemporâneo e tecnologia integrada.","Itaim Bibi, São Paulo - SP",2800000,4,4,200,3,"Vista 360°, Piscina na cobertura, Serviços pay-per-use, Home cinema, Automação"
17,"Edifício Neo Office Home","Unidades mistas residencial/comercial, ideais para profissionais liberais e empreendedores que desejam morar e trabalhar no mesmo local.","Funcionários, Belo Horizonte - MG",720000,2,2,90,2,"Espaço comercial integrado, Sala de reuniões compartilhada, Recepção, Coworking"
18,"Condomínio Fazenda Santa Clara","Casas de campo em antiga fazenda revitalizada, com lagos para pesca, cavalos e ampla área verde. Combina vida rural com conforto contemporâneo.","Região Serrana, Petrópolis - RJ",1950000,4,4,300,4,"Lagos para pesca, Haras, Pomar, Horta orgânica, Trilhas para caminhada"
19,"Residencial Porto Fino","Apartamentos de luxo em complexo náutico com marina privativa, clube de praia e serviço de concierge. Ideal para amantes de esportes aquáticos.","Guarujá, São Paulo - SP",2500000,3,3,180,2,"Marina privativa, Clube de praia, Esportes aquáticos, Heliponto, Spa"
